timestamp,provider,model,latency_s
"2025-10-27T13:15:37.471155","ollama","gemma3:4b",1.860596
"2025-10-27T13:15:05.550158","ollama","gemma3:4b",1.802522
"2025-10-27T13:13:44.199018","ollama","gemma3:4b",1.627910
"2025-10-27T13:13:12.410265","ollama","gemma3:4b",1.733878
"2025-10-27T13:12:40.615105","ollama","gemma3:4b",1.544579
"2025-10-27T13:12:09.017837","ollama","gemma3:4b",1.558616
"2025-10-27T13:11:37.401935","ollama","gemma3:4b",1.658728
"2025-10-27T13:11:05.688414","ollama","gemma3:4b",1.691116
"2025-10-27T13:10:33.938551","ollama","gemma3:4b",2.193194
"2025-10-27T13:10:01.698473","ollama","gemma3:4b",1.842608
"2025-10-27T13:09:29.805511","ollama","gemma3:4b",1.677443
"2025-10-27T13:08:58.070254","ollama","gemma3:4b",1.850807
"2025-10-27T13:08:26.163963","ollama","gemma3:4b",1.578238
"2025-10-27T13:07:54.533416","ollama","gemma3:4b",1.741342
"2025-10-27T13:07:22.731533","ollama","gemma3:4b",1.580166
"2025-10-27T13:06:51.111408","ollama","gemma3:4b",10.020741
"2025-10-27T13:06:11.036274","ollama","gemma3:4b",1.589951
"2025-10-27T13:05:39.390470","ollama","gemma3:4b",1.662831
"2025-10-27T13:05:07.676766","ollama","gemma3:4b",1.617304
"2025-10-27T13:04:35.999259","ollama","gemma3:4b",2.029346
"2025-10-27T13:04:03.908919","ollama","gemma3:4b",2.008210
"2025-10-27T13:03:31.841487","ollama","gemma3:4b",1.667916
"2025-10-27T13:01:09.945492","ollama","gemma3:4b",1.839868
"2025-10-27T13:00:38.053218","ollama","gemma3:4b",1.773491
"2025-10-27T13:00:06.229462","ollama","gemma3:4b",2.079448
"2025-10-27T12:59:34.101665","ollama","gemma3:4b",1.648728
"2025-10-27T12:59:02.397946","ollama","gemma3:4b",1.943209
"2025-10-27T12:58:30.399768","ollama","gemma3:4b",1.680835
"2025-10-27T12:57:58.667267","ollama","gemma3:4b",5.252393
